DÍA		COMPRA 	DOLAR	VENTA 	DOLAR
21/01/2010	3.76	3.8	5.3	5.36
20/01/2010	3.76	3.8	5.3	5.36
19/01/2010	3.76	3.8	5.37	5.42
18/01/2010	3.75	3.79	5.41	5.46
15/01/2010	3.75	3.79	5.39	5.45
14/01/2010	3.75	3.79	5.44	5.5
13/01/2010	3.75	3.79	5.45	5.51
12/01/2010	3.75	3.79	5.44	5.5
11/01/2010	3.75	3.79	5.45	5.5
08/01/2010	3.75	3.79	5.41	5.46
07/01/2010	3.75	3.79	5.37	5.43
06/01/2010	3.77	3.81	5.42	5.48
05/01/2010	3.75	3.79	5.4	5.46
04/01/2010	3.75	3.79	5.41	5.47
31/12/2009	3.76	3.8	5.39	5.45
30/12/2009	3.76	3.8	5.39	5.44
29/12/2009	3.78	3.82	5.43	5.49
28/12/2009	3.75	3.79	5.4	5.46
24/12/2009	3.75	3.79	5.38	5.44
23/12/2009	3.75	3.79	5.39	5.45
22/12/2009	3.76	3.8	5.36	5.41
21/12/2009	3.76	3.8	5.39	5.44
18/12/2009	3.77	3.81	5.39	5.45
17/12/2009	3.78	3.82	5.41	5.47
16/12/2009	3.77	3.81	5.48	5.54
15/12/2009	3.77	3.81	5.47	5.53
14/12/2009	3.77	3.81	5.52	5.58
11/12/2009	3.76	3.8	5.49	5.55
10/12/2009	3.76	3.8	5.52	5.58
09/12/2009	3.75	3.79	5.52	5.58
07/12/2009	3.76	3.8	5.59	5.65
04/12/2009	5.76	3.8	5.6	5.66
03/12/2009	3.76	3.8	5.68	5.74
02/12/2009	3.77	3.81	5.62	5.73
01/12/2009	3.77	3.81	5.69	5.75
30/11/2009	3.77	3.81	5.61	5.71
27/11/2009	3.76	3.8	5.64	5.7
26/11/2009	3.76	3.8	5.65	5.71
25/11/2009	3.76	3.8	5.67	5.73
24/11/2009	3.76	3.8	5.62	5.68
23/11/2009	3.75	3.79	5.62	5.69
20/11/2009	3.74	3.8	5.58	5.64
19/11/2009	3.76	3.8	5.6	5.66
18/11/2009	3.77	3.81	5.64	5.7
17/11/2009	3.77	3.81	5.6	5.66
16/11/2009	3.77	3.81	5.64	5.7
13/11/2009	3.77	3.81	5.63	5.69
12/11/2009	3.77	3.81	5.61	5.67
11/11/2009	3.77	3.81	5.65	5.71
10/11/2009	3.77	3.81	5.64	5.7
09/11/2009	3.77	3.81	5.66	5.72
05/11/2009	3.77	3.81	5.61	5.67
04/11/2009	3.77	3.81	5.6	5.64
03/11/2009	3.77	3.81	5.54	5.6
02/11/2009	3.79	3.81	5.58	5.64
29/10/2009	3.78	3.82	5.61	5.67
28/10/2009	3.78	3.82	5.56	5.62
27/10/2009	3.78	3.82	5.58	5.64
26/10/2009	3.78	3.82	5.61	5.67
22/10/2009	3.78	3.82	5.67	5.73
21/10/2009	3.78	3.82	5.68	5.74
20/10/2009	3.78	3.82	5.63	5.69
