"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"4/11/2011","Casas de cambio","4.275",""
"4/11/2011","Informal","4.670",""
"7/11/2011","Casas de cambio","4.280",""
"7/11/2011","Informal","4.675",""
"8/11/2011","Casas de cambio","4.280",""
"8/11/2011","Informal","4.750",""
"9/11/2011","Casas de cambio","4.285",""
"9/11/2011","Informal","4.870",""
"10/11/2011","Casas de cambio","4.285",""
"10/11/2011","Informal","4.995",""
"11/11/2011","Casas de cambio","4.290",""
"11/11/2011","Informal","4.985",""
"14/11/2011","Casas de cambio","4.290",""
"14/11/2011","Informal","4.790",""
"15/11/2011","Casas de cambio","4.295",""
"15/11/2011","Informal","4.790",""
"16/11/2011","Casas de cambio","4.295",""
"16/11/2011","Informal","4.790",""
"17/11/2011","Casas de cambio","4.290",""
"17/11/2011","Informal","4.790",""
"18/11/2011","Casas de cambio","4.285",""
"18/11/2011","Informal","4.790",""
"21/11/2011","Casas de cambio","4.285",""
"21/11/2011","Informal","4.790",""
"22/11/2011","Casas de cambio","4.280",""
"22/11/2011","Informal","4.790",""
"23/11/2011","Casas de cambio","4.280",""
"23/11/2011","Informal","4.790",""
"24/11/2011","Casas de cambio","4.280",""
"24/11/2011","Informal","4.790",""
"25/11/2011","Casas de cambio","4.280",""
"25/11/2011","Informal","4.790",""
"29/11/2011","Casas de cambio","4.290",""
"29/11/2011","Informal","4.790",""
"30/11/2011","Casas de cambio","4.300",""
"30/11/2011","Informal","4.790",""
"1/12/2011","Casas de cambio","4.300",""
"1/12/2011","Informal","4.790",""
"2/12/2011","Casas de cambio","4.305",""
"2/12/2011","Informal","4.790",""
"5/12/2011","Casas de cambio","4.305",""
"5/12/2011","Informal","4.790",""
"6/12/2011","Casas de cambio","4.305",""
"6/12/2011","Informal","4.790",""
"7/12/2011","Casas de cambio","4.305",""
"7/12/2011","Informal","4.790",""
"12/12/2011","Casas de cambio","4.305",""
"12/12/2011","Informal","4.790",""
"13/12/2011","Casas de cambio","4.305",""
"13/12/2011","Informal","4.790",""
"14/12/2011","Casas de cambio","4.305",""
"14/12/2011","Informal","4.610",""
"15/12/2011","Casas de cambio","4.305",""
"15/12/2011","Informal","4.620",""
"16/12/2011","Casas de cambio","4.310",""
"16/12/2011","Informal","4.610",""
"19/12/2011","Casas de cambio","4.310",""
"19/12/2011","Informal","4.640",""
"20/12/2011","Casas de cambio","4.310",""
"20/12/2011","Informal","4.630",""
"21/12/2011","Casas de cambio","4.310",""
"21/12/2011","Informal","4.630",""
"22/12/2011","Casas de cambio","4.310",""
"22/12/2011","Informal","4.650",""
"23/12/2011","Casas de cambio","4.310",""
"23/12/2011","Informal","4.670",""
"26/12/2011","Casas de cambio","4.310",""
"26/12/2011","Informal","4.650",""
"27/12/2011","Casas de cambio","4.310",""
"27/12/2011","Informal","4.710",""
"28/12/2011","Casas de cambio","4.320",""
"28/12/2011","Informal","4.740",""
"29/12/2011","Casas de cambio","4.320",""
"29/12/2011","Informal","4.735",""
"3/01/2012","Casas de cambio","4.325",""
"3/01/2012","Informal","4.745",""
"4/01/2012","Casas de cambio","4.325",""
"4/01/2012","Informal","4.780",""
"5/01/2012","Casas de cambio","4.330",""
"5/01/2012","Informal","4.790",""
"6/01/2012","Casas de cambio","4.335",""
"6/01/2012","Informal","4.785",""
"9/01/2012","Casas de cambio","4.340",""
"9/01/2012","Informal","4.790",""
"10/01/2012","Casas de cambio","4.340",""
"10/01/2012","Informal","4.790",""
"11/01/2012","Casas de cambio","4.340",""
"11/01/2012","Informal","4.800",""
"12/01/2012","Casas de cambio","4.340",""
"12/01/2012","Informal","4.800",""
"13/01/2012","Casas de cambio","4.340",""
"13/01/2012","Informal","4.805",""
"16/01/2012","Casas de cambio","4.340",""
"16/01/2012","Informal","4.805",""
"17/01/2012","Casas de cambio","4.340",""
"17/01/2012","Informal","4.810",""
"18/01/2012","Casas de cambio","4.340",""
"18/01/2012","Informal","4.825",""
"19/01/2012","Casas de cambio","4.340",""
"19/01/2012","Informal","4.835",""
"20/01/2012","Casas de cambio","4.340",""
"20/01/2012","Informal","4.835",""
"23/01/2012","Casas de cambio","4.345",""
"23/01/2012","Informal","4.840",""
"24/01/2012","Casas de cambio","4.345",""
"24/01/2012","Informal","4.840",""
"25/01/2012","Casas de cambio","4.350",""
"25/01/2012","Informal","4.840",""
"26/01/2012","Casas de cambio","4.355",""
"26/01/2012","Informal","4.845",""
"27/01/2012","Casas de cambio","4.355",""
"27/01/2012","Informal","4.835",""
"30/01/2012","Casas de cambio","4.355",""
"30/01/2012","Informal","4.805",""
"31/01/2012","Casas de cambio","4.355",""
"31/01/2012","Informal","4.790",""
"1/02/2012","Casas de cambio","4.355",""
"1/02/2012","Informal","4.775",""
"2/02/2012","Casas de cambio","4.355",""
"2/02/2012","Informal","4.775",""
"3/02/2012","Casas de cambio","4.355",""
"3/02/2012","Informal","4.775",""
"6/02/2012","Casas de cambio","4.355",""
"6/02/2012","Informal","4.765",""
"7/02/2012","Casas de cambio","4.355",""
"7/02/2012","Informal","4.730",""
"8/02/2012","Casas de cambio","4.355",""
"8/02/2012","Informal","4.730",""
"9/02/2012","Casas de cambio","4.365",""
"9/02/2012","Informal","4.760",""
"10/02/2012","Casas de cambio","4.365",""
"10/02/2012","Informal","4.760",""
"13/02/2012","Casas de cambio","4.365",""
"13/02/2012","Informal","4.740",""
"14/02/2012","Casas de cambio","4.365",""
"14/02/2012","Informal","4.735",""
"15/02/2012","Casas de cambio","4.365",""
"15/02/2012","Informal","4.760",""
"16/02/2012","Casas de cambio","4.370",""
"16/02/2012","Informal","4.735",""
"17/02/2012","Casas de cambio","4.370",""
"17/02/2012","Informal","4.760",""
"22/02/2012","Casas de cambio","4.375",""
"22/02/2012","Informal","4.740",""
"23/02/2012","Casas de cambio","4.375",""
"23/02/2012","Informal","4.730",""
"24/02/2012","Casas de cambio","4.375",""
"24/02/2012","Informal","4.730",""
"28/02/2012","Casas de cambio","4.375",""
"28/02/2012","Informal","4.725",""
"29/02/2012","Casas de cambio","4.375",""
"29/02/2012","Informal","4.720",""
"1/03/2012","Casas de cambio","4.375",""
"1/03/2012","Informal","4.700",""
"2/03/2012","Casas de cambio","4.365",""
"2/03/2012","Informal","4.690",""
"5/03/2012","Casas de cambio","4.365",""
"5/03/2012","Informal","4.685",""
"6/03/2012","Casas de cambio","4.370",""
"6/03/2012","Informal","4.685",""
"7/03/2012","Casas de cambio","4.370",""
"7/03/2012","Informal","4.710",""
"8/03/2012","Casas de cambio","4.370",""
"8/03/2012","Informal","4.710",""
"9/03/2012","Casas de cambio","4.370",""
"9/03/2012","Informal","4.710",""
"12/03/2012","Casas de cambio","4.370",""
"12/03/2012","Informal","4.715",""
"13/03/2012","Casas de cambio","4.370",""
"13/03/2012","Informal","4.720",""
"14/03/2012","Casas de cambio","4.375",""
"14/03/2012","Informal","4.740",""
"15/03/2012","Casas de cambio","4.375",""
"15/03/2012","Informal","4.785",""
"16/03/2012","Casas de cambio","4.380",""
"16/03/2012","Informal","4.815",""
"19/03/2012","Casas de cambio","4.380",""
"19/03/2012","Informal","4.790",""
"20/03/2012","Casas de cambio","4.380",""
"20/03/2012","Informal","4.820",""
"21/03/2012","Casas de cambio","4.385",""
"21/03/2012","Informal","4.855",""
"22/03/2012","Casas de cambio","4.385",""
"22/03/2012","Informal","4.870",""
"23/03/2012","Casas de cambio","4.390",""
"23/03/2012","Informal","4.890",""
"26/03/2012","Casas de cambio","4.390",""
"26/03/2012","Informal","4.905",""
"27/03/2012","Casas de cambio","4.395",""
"27/03/2012","Informal","4.930",""
"28/03/2012","Casas de cambio","4.395",""
"28/03/2012","Informal","4.930",""
"29/03/2012","Casas de cambio","4.395",""
"29/03/2012","Informal","4.940",""
"30/03/2012","Casas de cambio","4.395",""
"30/03/2012","Informal","4.930",""
"3/04/2012","Casas de cambio","4.400",""
"3/04/2012","Informal","4.890",""
"4/04/2012","Casas de cambio","4.405",""
"4/04/2012","Informal","4.905",""
"9/04/2012","Casas de cambio","4.405",""
"9/04/2012","Informal","4.890",""
"10/04/2012","Casas de cambio","4.410",""
"10/04/2012","Informal","4.880",""
"11/04/2012","Casas de cambio","4.410",""
"11/04/2012","Informal","4.890",""
"12/04/2012","Casas de cambio","4.410",""
"12/04/2012","Informal","4.910",""
"13/04/2012","Casas de cambio","4.410",""
"13/04/2012","Informal","4.930",""
"16/04/2012","Casas de cambio","4.410",""
"16/04/2012","Informal","4.950",""
"17/04/2012","Casas de cambio","4.410",""
"17/04/2012","Informal","5.010",""
"18/04/2012","Casas de cambio","4.420",""
"18/04/2012","Informal","5.020",""
"19/04/2012","Casas de cambio","4.425",""
"19/04/2012","Informal","5.020",""
"20/04/2012","Casas de cambio","4.430",""
"20/04/2012","Informal","5.020",""
"23/04/2012","Casas de cambio","4.430",""
"23/04/2012","Informal","5.040",""
"24/04/2012","Casas de cambio","4.430",""
"24/04/2012","Informal","5.130",""
"25/04/2012","Casas de cambio","4.430",""
"25/04/2012","Informal","5.140",""
"26/04/2012","Casas de cambio","4.435",""
"26/04/2012","Informal","5.100",""
"27/04/2012","Casas de cambio","4.435",""
"27/04/2012","Informal","5.090",""
"2/05/2012","Casas de cambio","4.440",""
"2/05/2012","Informal","5.080",""
"3/05/2012","Casas de cambio","4.440",""
"3/05/2012","Informal","5.050",""
"4/05/2012","Casas de cambio","4.450",""
"4/05/2012","Informal","5.040",""
"7/05/2012","Casas de cambio","4.455",""
"7/05/2012","Informal","5.050",""
"8/05/2012","Casas de cambio","4.465",""
"8/05/2012","Informal","5.060",""
"9/05/2012","Casas de cambio","4.470",""
"9/05/2012","Informal","5.080",""
"10/05/2012","Casas de cambio","4.470",""
"10/05/2012","Informal","5.100",""
"11/05/2012","Casas de cambio","4.470",""
"11/05/2012","Informal","5.180",""
"14/05/2012","Casas de cambio","4.470",""
"14/05/2012","Informal","5.228",""
"15/05/2012","Casas de cambio","4.448",""
"15/05/2012","Informal","5.550",""
"16/05/2012","Casas de cambio","4.475",""
"16/05/2012","Informal","5.490",""
"17/05/2012","Casas de cambio","4.475",""
"17/05/2012","Informal","5.590",""
"18/05/2012","Casas de cambio","4.475",""
"18/05/2012","Informal","5.630",""
"21/05/2012","Casas de cambio","4.480",""
"21/05/2012","Informal","5.720",""
"22/05/2012","Casas de cambio","4.485",""
"22/05/2012","Informal","5.940",""
"23/05/2012","Casas de cambio","4.490",""
"23/05/2012","Informal","6.150",""
"24/05/2012","Casas de cambio","4.490",""
"24/05/2012","Informal","5.930",""
"28/05/2012","Casas de cambio","4.495",""
"28/05/2012","Informal","5.890",""
"29/05/2012","Casas de cambio","4.495",""
"29/05/2012","Informal","5.910",""
"30/05/2012","Casas de cambio","4.495",""
"30/05/2012","Informal","5.900",""
"31/05/2012","Casas de cambio","4.495",""
"31/05/2012","Informal","5.920",""
"1/06/2012","Casas de cambio","4.495",""
"1/06/2012","Informal","5.950",""
"4/06/2012","Casas de cambio","4.495",""
